epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/scoreboards,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,4,,,,,,,,,,,,,,,,,,,,,,0.25823596119880676,0.40336135029792786,0.2608546316623688,0.23118680715560913,0.8955555558204651,6.639420986175537,0.290804386138916,0.25823596119880676,0.27046486735343933,0.8844444155693054,0.3243243098258972,0.5333333611488342
0,4,3873.96875,3878.862548828125,3858.99365234375,3863.15625,10.865384101867676,20.463361740112305,0.16932030022144318,0.16259843111038208,0.1528218388557434,0.1660088449716568,3.5496878623962402,3.512432813644409,3.4316768646240234,3.3046443462371826,0.42926543951034546,0.4254710078239441,0.40268588066101074,0.44816285371780396,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,0.9284045696258545,0.9887640476226807,0.9737960696220398,0.9258326292037964,0.9622222185134888,3.4477150440216064,0.974323034286499,0.9284045696258545,0.9548436999320984,0.9622222185134888,1.0,0.9777777791023254
1,9,3898.768798828125,3897.8125,3898.737548828125,3893.28759765625,0.0,5.0553998947143555,0.006500189658254385,0.007729138247668743,0.006585427559912205,0.01642199233174324,1.0265966653823853,1.1661454439163208,1.0711047649383545,1.1383625268936157,0.044572241604328156,0.05161266773939133,0.043920356780290604,0.093398317694664,,,,,,,,,,,,,,,
2,14,,,,,,,,,,,,,,,,,,,,,,0.9279870986938477,0.9887640476226807,0.9751399159431458,0.9284269213676453,0.9644444584846497,2.5018138885498047,0.9758203029632568,0.9279870986938477,0.9702970385551453,0.9622222185134888,1.0,0.9777777791023254
2,14,3899.043701171875,3899.16259765625,3899.05615234375,3898.21875,0.0,3.1774959564208984,0.00735537800937891,0.008028190582990646,0.0074605792760849,0.013770602643489838,0.5023072957992554,0.8907202482223511,0.5465848445892334,0.5318323373794556,0.05564514547586441,0.05967707186937332,0.055615492165088654,0.09055085480213165,,,,,,,,,,,,,,,
3,19,,,,,,,,,,,,,,,,,,,,,,0.9342254400253296,0.9887640476226807,0.997029721736908,0.9475046992301941,0.9688888788223267,2.5672500133514404,0.9975752830505371,0.9342254400253296,0.9965055584907532,0.9599999785423279,1.0,0.9777777791023254
3,19,3898.300048828125,3898.84375,3898.02490234375,3897.887451171875,0.0,2.6259028911590576,0.00759259844198823,0.007369754370301962,0.00757821649312973,0.01890159770846367,0.2907524108886719,0.8651553988456726,0.32922324538230896,0.39326319098472595,0.05266086384654045,0.05295935273170471,0.053203802555799484,0.11132512986660004,,,,,,,,,,,,,,,
4,24,,,,,,,,,,,,,,,,,,,,,,0.8973332047462463,0.9887640476226807,0.9975752830505371,0.9023260474205017,0.9377777576446533,2.2575972080230713,0.9975752830505371,0.8973332047462463,0.9702970385551453,0.9288889169692993,1.0,0.9777777791023254
4,24,3896.86865234375,3898.518798828125,3898.737548828125,3897.28759765625,0.0,2.749025583267212,0.007931092754006386,0.009482286870479584,0.009037427604198456,0.027546534314751625,0.27271947264671326,0.7122359275817871,0.30251210927963257,0.44188016653060913,0.07113011926412582,0.0756196528673172,0.07591358572244644,0.15218201279640198,,,,,,,,,,,,,,,
5,29,,,,,,,,,,,,,,,,,,,,,,0.9390117526054382,0.9887640476226807,0.9981435537338257,0.9404283761978149,0.9777777791023254,2.4038069248199463,0.9981435537338257,0.9390117526054382,0.9981435537338257,0.9755555391311646,1.0,0.9777777791023254
5,29,3896.88134765625,3898.28125,3898.706298828125,3897.574951171875,0.0,2.3890085220336914,0.008126409724354744,0.006620483938604593,0.010354005731642246,0.022817257791757584,0.25524282455444336,0.601143479347229,0.2843632698059082,0.4310360550880432,0.058500148355960846,0.05140724033117294,0.06428582221269608,0.11462309211492538,,,,,,,,,,,,,,,
6,34,,,,,,,,,,,,,,,,,,,,,,0.9344934821128845,0.9887640476226807,0.9987360239028931,0.9320405721664429,0.9599999785423279,2.1818535327911377,0.9987360239028931,0.9344934821128845,0.9987360239028931,0.9666666388511658,1.0,0.9777777791023254
6,34,3894.268798828125,3898.518798828125,3897.574951171875,3897.53125,0.0,2.457308769226074,0.007497980259358883,0.008538534864783287,0.007554697338491678,0.019144207239151,0.2269163578748703,0.6671596765518188,0.23230674862861633,0.45258861780166626,0.06603425741195679,0.06875137984752655,0.06562332808971405,0.13192112743854523,,,,,,,,,,,,,,,
7,39,,,,,,,,,,,,,,,,,,,,,,0.9436212778091431,1.0,1.0,0.9442402124404907,0.9622222185134888,3.038900375366211,1.0,0.9436212778091431,1.0,0.9666666388511658,1.0,1.0
7,39,3878.71875,3898.143798828125,3895.83740234375,3897.75,0.0,2.495771884918213,0.007296091876924038,0.008608951233327389,0.0073509677313268185,0.031223878264427185,0.22910359501838684,0.5881541967391968,0.24191555380821228,0.49589648842811584,0.05500134080648422,0.05906408280134201,0.05443299934267998,0.16565284132957458,,,,,,,,,,,,,,,
8,44,,,,,,,,,,,,,,,,,,,,,,0.8714622259140015,1.0,1.0,0.8936723470687866,0.9133333563804626,2.584028959274292,1.0,0.8714622259140015,1.0,0.9088888764381409,1.0,1.0
8,44,3868.25634765625,3897.643798828125,3892.28759765625,3897.85009765625,2.5,2.4251155853271484,0.008403691463172436,0.008759081363677979,0.007810956332832575,0.031208563596010208,0.2201390266418457,0.5260334014892578,0.21734480559825897,0.4845249652862549,0.057873450219631195,0.06431055814027786,0.055959463119506836,0.1699371188879013,,,,,,,,,,,,,,,
9,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
9,49,,,,,,,,,,,,,,,,,,,,,,0.9357801675796509,0.9887640476226807,0.9993543028831482,0.9414883852005005,0.9577777981758118,1.9867783784866333,0.9987360239028931,0.9357801675796509,0.9987360239028931,0.9511111378669739,1.0,0.9777777791023254
9,49,3859.31884765625,3896.89990234375,3891.356201171875,3897.324951171875,0.0,2.0589959621429443,0.008558902889490128,0.009362569078803062,0.008056677877902985,0.025821799412369728,0.22215905785560608,0.30258816480636597,0.21945178508758545,0.41569218039512634,0.060320932418107986,0.06820360571146011,0.05872377008199692,0.13280411064624786,,,,,,,,,,,,,,,
10,54,,,,,,,,,,,,,,,,,,,,,,0.9517607688903809,0.9887640476226807,0.9821256399154663,0.9543441534042358,0.9733333587646484,1.731210470199585,0.977186918258667,0.9517607688903809,0.9715023040771484,0.9822221994400024,1.0,0.9777777791023254
10,54,3853.78125,3895.85009765625,3889.887451171875,3897.46875,0.0,2.1069135665893555,0.007386916782706976,0.007443050388246775,0.007860163226723671,0.02706952765583992,0.2255021333694458,0.3244519829750061,0.23356731235980988,0.4325903356075287,0.06151263043284416,0.053522370755672455,0.06551988422870636,0.1404469758272171,,,,,,,,,,,,,,,
11,59,,,,,,,,,,,,,,,,,,,,,,0.9450294375419617,0.9887640476226807,0.9715603590011597,0.945564329624176,0.9688888788223267,1.5105229616165161,0.9711804389953613,0.9450294375419617,0.9702970385551453,0.9688888788223267,1.0,0.9777777791023254
11,59,3845.25634765625,3896.9375,3883.512451171875,3895.96875,7.5,1.9411802291870117,0.00909133069217205,0.008748038671910763,0.008272208273410797,0.0217888280749321,0.23478777706623077,0.3364413380622864,0.23202595114707947,0.33474013209342957,0.06270821392536163,0.056093037128448486,0.059841036796569824,0.10319919884204865,,,,,,,,,,,,,,,
12,64,,,,,,,,,,,,,,,,,,,,,,0.9398065209388733,0.9887640476226807,0.9711571335792542,0.9374147653579712,0.9622222185134888,1.6985875368118286,0.971007227897644,0.9398065209388733,0.9702970385551453,0.9599999785423279,1.0,0.9777777791023254
12,64,3817.387451171875,3895.331298828125,3874.581298828125,3896.18115234375,0.0,1.8943023681640625,0.009440622292459011,0.00670156255364418,0.008094422519207,0.025102725252509117,0.22974053025245667,0.254347026348114,0.2125280797481537,0.38327720761299133,0.059493761509656906,0.05033721774816513,0.053635597229003906,0.12038981914520264,,,,,,,,,,,,,,,
13,69,,,,,,,,,,,,,,,,,,,,,,0.9752269387245178,0.9890109896659851,0.9981435537338257,0.9829531311988831,0.9888888597488403,1.4888203144073486,0.9993543028831482,0.9752269387245178,0.9993543028831482,0.9866666793823242,0.97826087474823,1.0
13,69,3817.69384765625,3887.96240234375,3868.63134765625,3891.831298828125,0.0,2.1414647102355957,0.008577002212405205,0.010138126090168953,0.008687613531947136,0.019907847046852112,0.2528601288795471,0.29302310943603516,0.2508924603462219,0.40505164861679077,0.0693066269159317,0.07924549281597137,0.06899572163820267,0.13399437069892883,,,,,,,,,,,,,,,
14,74,,,,,,,,,,,,,,,,,,,,,,0.9418555498123169,1.0,1.0,0.9495304822921753,0.9577777981758118,1.5624990463256836,1.0,0.9418555498123169,1.0,0.9577777981758118,1.0,1.0
14,74,3833.77490234375,3888.94384765625,3875.93115234375,3892.63134765625,0.0,2.4707796573638916,0.009783858433365822,0.010577519424259663,0.009792735800147057,0.02939535118639469,0.26229003071784973,0.29370537400245667,0.26294997334480286,0.4805923104286194,0.08521224558353424,0.088871069252491,0.08437056839466095,0.17829373478889465,,,,,,,,,,,,,,,
15,79,,,,,,,,,,,,,,,,,,,,,,0.9570424556732178,1.0,1.0,0.9589248895645142,0.9666666388511658,1.6838730573654175,1.0,0.9570424556732178,0.9937467575073242,0.9644444584846497,1.0,1.0
15,79,3813.06884765625,3884.10009765625,3857.18115234375,3890.91259765625,0.0,1.7548986673355103,0.0075634801760315895,0.0072866082191467285,0.007906298153102398,0.014523175545036793,0.2222263067960739,0.22958378493785858,0.22822657227516174,0.3697945475578308,0.05454914644360542,0.05662185698747635,0.05720791965723038,0.09095586836338043,,,,,,,,,,,,,,,
16,84,,,,,,,,,,,,,,,,,,,,,,0.9068411588668823,0.9890109896659851,0.9993543028831482,0.9390212297439575,0.9555555582046509,1.808762550354004,0.9993543028831482,0.9068411588668823,0.994599461555481,0.9355555772781372,0.97826087474823,1.0
16,84,3831.41259765625,3884.49365234375,3872.44384765625,3892.043701171875,0.0,1.7643102407455444,0.007081170566380024,0.007608050014823675,0.00750553235411644,0.016021449118852615,0.22177724540233612,0.23540516197681427,0.22505652904510498,0.3477244973182678,0.05644489452242851,0.05888327211141586,0.057396210730075836,0.09890858829021454,,,,,,,,,,,,,,,
17,89,,,,,,,,,,,,,,,,,,,,,,0.9565833806991577,0.9887640476226807,0.9987360239028931,0.9230536818504333,0.9466666579246521,2.437314987182617,0.9987360239028931,0.9565833806991577,0.9678022265434265,0.9733333587646484,1.0,0.9777777791023254
17,89,3851.74365234375,3883.800048828125,3883.081298828125,3889.987548828125,0.0,1.935224175453186,0.0075216032564640045,0.008300986140966415,0.007864638231694698,0.02328461967408657,0.22248557209968567,0.2471754103899002,0.22646768391132355,0.39398109912872314,0.05896574258804321,0.05909604951739311,0.05865994840860367,0.12840579450130463,,,,,,,,,,,,,,,
18,94,,,,,,,,,,,,,,,,,,,,,,0.913860023021698,0.9887640476226807,0.9987360239028931,0.9642555713653564,0.9822221994400024,2.2641825675964355,0.9987360239028931,0.913860023021698,0.9975752830505371,0.9377777576446533,1.0,0.9777777791023254
18,94,3839.175048828125,3879.33740234375,3881.80615234375,3892.824951171875,0.0,2.025848388671875,0.008230896666646004,0.009172708727419376,0.008309615775942802,0.032346464693546295,0.21461045742034912,0.24695149064064026,0.22124138474464417,0.42639049887657166,0.0549875907599926,0.05644785612821579,0.05481599643826485,0.14692652225494385,,,,,,,,,,,,,,,
19,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
19,99,,,,,,,,,,,,,,,,,,,,,,0.9228577613830566,0.9887640476226807,0.9987360239028931,0.9311783909797668,0.9577777981758118,2.0326852798461914,0.9987360239028931,0.9228577613830566,0.9987360239028931,0.9644444584846497,1.0,0.9777777791023254
19,99,3826.668701171875,3872.05615234375,3880.3125,3889.86865234375,0.0,2.1332411766052246,0.007991592399775982,0.008381468243896961,0.00804419256746769,0.02860802412033081,0.23276007175445557,0.2748672366142273,0.23566631972789764,0.4364713728427887,0.06623734533786774,0.06676450371742249,0.06590472161769867,0.1452682465314865,,,,,,,,,,,,,,,
20,104,,,,,,,,,,,,,,,,,,,,,,0.9386540651321411,0.9887640476226807,0.9987360239028931,0.9426204562187195,0.9666666388511658,2.0719072818756104,0.9987360239028931,0.9386540651321411,0.9981435537338257,0.9666666388511658,1.0,0.9777777791023254
20,104,3836.10009765625,3879.72509765625,3883.77490234375,3888.86865234375,0.0,2.264894962310791,0.009227171540260315,0.009380477480590343,0.009545913897454739,0.025541186332702637,0.25251322984695435,0.2701913118362427,0.25347596406936646,0.45126891136169434,0.07829072326421738,0.07563766837120056,0.07846523821353912,0.15209239721298218,,,,,,,,,,,,,,,
21,109,,,,,,,,,,,,,,,,,,,,,,0.9309924244880676,1.0,1.0,0.974708080291748,0.9844444394111633,1.574122428894043,1.0,0.9309924244880676,1.0,0.9577777981758118,1.0,1.0
21,109,3812.449951171875,3876.30615234375,3884.15625,3888.543701171875,0.0,1.848418951034546,0.008234028704464436,0.009831503033638,0.009175878018140793,0.018590161576867104,0.20980611443519592,0.22482578456401825,0.21672765910625458,0.33873051404953003,0.06538886576890945,0.06965845078229904,0.06863991916179657,0.11089837551116943,,,,,,,,,,,,,,,
22,114,,,,,,,,,,,,,,,,,,,,,,0.8606215119361877,1.0,1.0,0.9169790148735046,0.9377777576446533,3.1587390899658203,1.0,0.8606215119361877,0.9713470339775085,0.8955555558204651,1.0,1.0
22,114,3809.53125,3874.699951171875,3874.331298828125,3886.643798828125,0.0,2.2729055881500244,0.012597570195794106,0.014194960705935955,0.013249914161860943,0.02670901082456112,0.2556818127632141,0.27232709527015686,0.26016825437545776,0.39970332384109497,0.07362796366214752,0.08261071145534515,0.07631281763315201,0.1430823802947998,,,,,,,,,,,,,,,
23,119,,,,,,,,,,,,,,,,,,,,,,0.9018486142158508,1.0,1.0,0.8859992623329163,0.9333333373069763,2.2113497257232666,1.0,0.9018486142158508,1.0,0.9177777767181396,1.0,1.0
